Win-Loss Percentage,SO,IP,Age,Lg,H,R,ERA,SB,BA,OBP
0.44,167,197.1,25,NL,187,88,3.65,9,0.251,0.294
0.522,167,203.1,31,NL,190,88,3.81,13,0.249,0.298
0.368,167,175.1,27,AL,174,103,4.88,14,0.259,0.307
0.412,167,188,25,NL,157,70,3.21,17,0.223,0.275
0.533,167,180,25,NL,166,82,3.95,13,0.244,0.296
0.522,167,175.1,28,NL,172,66,3.03,4,0.258,0.33
0.667,167,156.2,28,NL,114,46,2.53,24,0.203,0.259
0.524,167,161,24,AL,162,95,4.86,19,0.259,0.337
0.593,167,219.2,37,AL,205,86,3.32,17,0.249,0.299
0.333,167,156.2,28,AL,143,97,5.34,16,0.244,0.344
0.6,166,135.2,37,NL,99,51,3.32,12,0.203,0.287
0.542,166,181.1,30,NL,178,105,4.67,8,0.254,0.321
0.625,166,187.2,26,AL,170,80,3.69,5,0.241,0.296
0.474,166,204,25,AL,209,104,4.37,13,0.264,0.313
0.563,166,150,22,NL,126,60,3.24,15,0.225,0.268
0.435,166,191,31,NL,207,106,4.71,8,0.273,0.306
0.391,166,205.1,28,AL,216,117,4.82,13,0.273,0.331
0.5,166,191,32,NL,182,81,3.49,20,0.251,0.32
0.455,166,193.2,34,NL,165,83,3.62,20,0.229,0.278
0.565,165,171.2,35,NL,205,101,4.46,10,0.294,0.345
0.455,165,169.2,25,NL,158,89,4.3,4,0.245,0.301
0.75,165,123.2,26,NL,97,55,3.93,7,0.216,0.328
0.471,165,155,27,NL,124,61,3.37,1,0.221,0.293
0.5,165,176,32,AL,132,73,3.48,12,0.203,0.278
0.778,165,199.2,27,AL,179,75,3.07,7,0.236,0.272
0.273,165,184.2,28,NL,200,111,4.34,14,0.279,0.342
0.542,165,199.1,30,NL,195,90,3.7,9,0.255,0.305
0.552,165,191.1,26,AL,196,101,4.19,4,0.259,0.305
0.364,165,191.1,28,NL,180,84,3.81,27,0.253,0.315
0.35,165,168.1,27,NL,165,90,4.65,13,0.254,0.329
0.619,165,195.1,28,AL,181,84,3.64,7,0.242,0.288
0.391,164,175.1,26,AL,192,108,5.24,13,0.276,0.339
0.438,164,176,28,NL,165,94,4.55,9,0.248,0.309
0.429,164,177,25,AL,182,94,4.37,7,0.265,0.318
0.591,164,201,26,AL,201,82,3.09,10,0.264,0.323
